               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 109,            0.030123,            0.032787,           0.0087612,             0.86012,              0.8483,             0.90082,             0.57436,            0.027375,            0.017718,           0.0025388,            0.004654,            0.004654,            0.004654
                 110,             0.03011,            0.032916,           0.0084071,             0.85859,             0.84997,             0.90094,             0.57612,            0.027363,            0.017715,           0.0026228,           0.0046045,           0.0046045,           0.0046045
                 111,            0.030243,            0.032821,           0.0092098,             0.85883,             0.84233,             0.90005,             0.57646,            0.027283,            0.017756,           0.0024752,            0.004555,            0.004555,            0.004555
                 112,            0.030229,            0.032377,           0.0086912,             0.86316,             0.84918,             0.90304,             0.57719,             0.02719,            0.017669,           0.0024768,           0.0045055,           0.0045055,           0.0045055
                 113,            0.029844,            0.032854,           0.0081615,              0.8631,             0.85013,             0.90389,             0.57856,             0.02721,            0.017624,           0.0024998,            0.004456,            0.004456,            0.004456
                 114,            0.029673,             0.03271,            0.008779,             0.87325,             0.84463,             0.90309,             0.57916,            0.027267,            0.017622,           0.0024505,           0.0044065,           0.0044065,           0.0044065
                 115,            0.029896,            0.032472,           0.0080541,             0.87723,             0.84326,             0.90489,             0.58042,             0.02725,            0.017557,           0.0024838,            0.004357,            0.004357,            0.004357
                 116,            0.029312,            0.031652,           0.0088376,             0.87446,             0.84839,             0.90745,             0.58359,            0.027061,            0.017487,           0.0024381,           0.0043075,           0.0043075,           0.0043075
                 117,            0.029672,            0.032185,           0.0084072,             0.87737,             0.84514,             0.90762,             0.58333,            0.027084,            0.017471,           0.0024418,            0.004258,            0.004258,            0.004258
                 118,            0.029615,            0.031654,           0.0078178,              0.8867,             0.84389,             0.90913,              0.5857,            0.027016,            0.017409,           0.0023863,           0.0042085,           0.0042085,           0.0042085
                 119,            0.029386,             0.03185,           0.0085314,             0.87633,             0.85282,             0.90942,             0.58549,            0.026959,            0.017402,           0.0023637,            0.004159,            0.004159,            0.004159
                 120,            0.029512,            0.032364,           0.0081281,             0.88123,             0.85159,             0.90946,             0.58688,            0.026875,             0.01736,           0.0023111,           0.0041095,           0.0041095,           0.0041095
                 121,            0.029438,            0.031638,           0.0079353,              0.8797,             0.85112,             0.90879,              0.5864,             0.02689,            0.017416,           0.0022599,             0.00406,             0.00406,             0.00406
                 122,            0.029419,            0.031823,           0.0080801,             0.86899,             0.85585,              0.9078,             0.58579,            0.026902,            0.017458,           0.0023579,           0.0040105,           0.0040105,           0.0040105
                 123,            0.029108,            0.031863,           0.0075805,             0.87344,              0.8571,             0.90804,             0.58545,            0.026874,            0.017457,           0.0023839,            0.003961,            0.003961,            0.003961
                 124,            0.029206,            0.031509,           0.0076384,             0.86909,             0.85802,             0.90856,             0.58724,             0.02683,            0.017456,           0.0024035,           0.0039115,           0.0039115,           0.0039115
                 125,            0.029176,            0.031761,           0.0080051,             0.86562,             0.86742,              0.9079,             0.58765,            0.026866,            0.017498,           0.0024312,            0.003862,            0.003862,            0.003862
                 126,            0.029225,            0.032644,           0.0074906,             0.87053,             0.86213,             0.90701,             0.58744,            0.026859,              0.0175,           0.0024367,           0.0038125,           0.0038125,           0.0038125
                 127,            0.028936,            0.031338,           0.0074429,             0.87309,             0.85437,             0.90615,             0.58641,            0.026808,            0.017471,           0.0023625,            0.003763,            0.003763,            0.003763
